,Col1,Col2,Training,Validation
0,0,0.04375,0,4.375
1,0.025546875,0.0653125,2.5546875,6.53125
2,0.021171875,0.04875,2.1171875,4.875
3,0.02640625,0.0534375,2.640625,5.34375
4,0.027578125,0.0525,2.7578125,5.25
5,0.03109375,0.0540625,3.109375,5.40625
6,0.033984375,0.055,3.3984375,5.5
7,0.037734375,0.0584375,3.7734375,5.84375
8,0.039375,0.0596875,3.9375,5.96875
9,0.04296875,0.065,4.296875,6.5
10,0.044609375,0.0678125,4.4609375,6.78125
11,0.048359375,0.07,4.8359375,7
12,0.050390625,0.0675,5.0390625,6.75
13,0.05140625,0.0721875,5.140625,7.21875
14,0.0534375,0.0740625,5.34375,7.40625
15,0.055,0.075625,5.5,7.5625
16,0.05703125,0.08,5.703125,8
17,0.05859375,0.08125,5.859375,8.125
18,0.0609375,0.085625,6.09375,8.5625
19,0.0653125,0.085,6.53125,8.5
20,0.066015625,0.0878125,6.6015625,8.78125
21,0.068984375,0.0909375,6.8984375,9.09375
22,0.071015625,0.0921875,7.1015625,9.21875
23,0.072734375,0.0953125,7.2734375,9.53125
24,0.07421875,0.095,7.421875,9.5
25,0.0771875,0.0940625,7.71875,9.40625
26,0.07875,0.0971875,7.875,9.71875
27,0.0803125,0.099375,8.03125,9.9375
28,0.080703125,0.0990625,8.0703125,9.90625
29,0.082109375,0.10375,8.2109375,10.375
30,0.0834375,0.105,8.34375,10.5
31,0.085703125,0.106875,8.5703125,10.6875
32,0.086484375,0.104375,8.6484375,10.4375
33,0.088828125,0.106875,8.8828125,10.6875
34,0.089296875,0.1096875,8.9296875,10.96875
35,0.0921875,0.11,9.21875,11
36,0.0940625,0.1115625,9.40625,11.15625
37,0.095390625,0.1153125,9.5390625,11.53125
38,0.09796875,0.1159375,9.796875,11.59375
39,0.099375,0.11625,9.9375,11.625
40,0.100234375,0.1178125,10.0234375,11.78125
41,0.102265625,0.120625,10.2265625,12.0625
42,0.1021875,0.11875,10.21875,11.875
43,0.10453125,0.1259375,10.453125,12.59375
44,0.105625,0.125,10.5625,12.5
45,0.1078125,0.1315625,10.78125,13.15625
46,0.109921875,0.1353125,10.9921875,13.53125
47,0.1121875,0.133125,11.21875,13.3125
48,0.114765625,0.135,11.4765625,13.5
49,0.116328125,0.1353125,11.6328125,13.53125
50,0.116171875,0.1371875,11.6171875,13.71875
51,0.11890625,0.1396875,11.890625,13.96875
52,0.12,0.141875,12,14.1875
53,0.12203125,0.1428125,12.203125,14.28125
54,0.12375,0.1440625,12.375,14.40625
55,0.124140625,0.149375,12.4140625,14.9375
56,0.125859375,0.14875,12.5859375,14.875
57,0.1284375,0.1496875,12.84375,14.96875
58,0.12828125,0.1478125,12.828125,14.78125
59,0.12953125,0.1478125,12.953125,14.78125
60,0.131953125,0.1515625,13.1953125,15.15625
61,0.133125,0.151875,13.3125,15.1875
62,0.133515625,0.15375,13.3515625,15.375
63,0.13546875,0.1540625,13.546875,15.40625
64,0.136171875,0.155,13.6171875,15.5
65,0.1378125,0.1575,13.78125,15.75
66,0.13828125,0.15875,13.828125,15.875
67,0.140625,0.158125,14.0625,15.8125
68,0.14109375,0.161875,14.109375,16.1875
69,0.142578125,0.1625,14.2578125,16.25
70,0.143828125,0.16375,14.3828125,16.375
71,0.1446875,0.1665625,14.46875,16.65625
72,0.14671875,0.165625,14.671875,16.5625
73,0.148203125,0.169375,14.8203125,16.9375
74,0.148984375,0.1684375,14.8984375,16.84375
75,0.152265625,0.1709375,15.2265625,17.09375
76,0.152578125,0.1703125,15.2578125,17.03125
77,0.153046875,0.1725,15.3046875,17.25
78,0.1546875,0.1740625,15.46875,17.40625
79,0.15640625,0.1725,15.640625,17.25
80,0.15609375,0.1746875,15.609375,17.46875
81,0.159140625,0.174375,15.9140625,17.4375
82,0.158671875,0.1753125,15.8671875,17.53125
83,0.160703125,0.1765625,16.0703125,17.65625
84,0.16109375,0.1753125,16.109375,17.53125
85,0.1615625,0.1775,16.15625,17.75
86,0.162890625,0.18,16.2890625,18
87,0.163046875,0.1809375,16.3046875,18.09375
88,0.1640625,0.179375,16.40625,17.9375
89,0.165,0.1796875,16.5,17.96875
90,0.166796875,0.1815625,16.6796875,18.15625
91,0.166484375,0.1825,16.6484375,18.25
92,0.1690625,0.185625,16.90625,18.5625
93,0.1690625,0.1878125,16.90625,18.78125
94,0.171328125,0.1871875,17.1328125,18.71875
95,0.1728125,0.190625,17.28125,19.0625
96,0.17328125,0.1890625,17.328125,18.90625
97,0.173125,0.18875,17.3125,18.875
98,0.174921875,0.190625,17.4921875,19.0625
99,0.176328125,0.1909375,17.6328125,19.09375
